"0"
"baboso, -a:adj. dimwit; twit"
"balena:n.f. whale; fat  woman. (lit.: whale)"
"pez gordo:idiom. fat cat;  big cheese; big cheese. (lit.: fat fish)"
"piantado/a:adj. nuts; crazu.  (used in Cono del Sur; from the tango dance)"
"piantado/a:n.m./f. nutcase;  lunatic. (used in Cono del Sur; from the tango dance)"
"piba:n.f. girl; woman;  girlfriend. (used in Cono del Sur, esp. Argentina)"
"pibe:n.m. kid, lad,  young person. (n.b.: very common throughout the Spanish-speaking world)"
"pibe:n.m. boy; kid;  lad; boyfriend. (used in Cono del Sur, esp. Argentina)"
"picar:v. nibble; nosh;  snack; eat a small amount of"
"pichilingo:n.m. boy; kid;  lad. (used in Mexico)"
"pichón (mi):n.m. turtledove,  dear, love (my). (n.b.: a term of affection or endearment)"
"pijo:n.m. penis; dick.  (used in Latin American; rather vulgar)"
"pile:n.f. swimming  pool. (from pileta; used in Argentina)"
"pintón:n.m. handsome man;  stud. (old)"
"pirado/a:adj. crazy; out of  one's mind; round the bend"
"plasta:n.m. bore; twit;  pain in the neck. (used in Spain)"
"plata:n.f. money; cash.  (n.b.: very common throughout the Spanish-speaking world)"
"pocilga:n.,f. pigpen;  pigsty; disgusting room or place"
"polla:n.f. cock; dick;  penis. (lit.: hen; n.b.: vulgar)"
"pollita:n.f. chick; girl"
"polola:n.f. girlfried.  (used in Chile)"
"pololear:v. got out with;  be dating; be seeing somebody. (used in Chile)"
"pololo:n.m. boyfriend.  (used in Chile)"
"poner a salvo:idiom. save;  rescue. (lit.: to put to saving)"
"poner el dedo en la  llaga:idiom. hit a raw  nerve. (lit.: to put the finger in the ulcer)"
"poner en camino:idiom. get  underway; be underway. (lit.: to put onself on road, on route)"
"poner en cintura:idiom. reign in.  (lit.: to put a belt on)"
"poner en marcha:idiom. start;  begin; put into action"
"poner en su sitio a  alguien:idiom. put someone  in his/her place. (lit.: to place someone in her/his site)"
"poner la mesa:idiom. set the  table"
"poner mala cara:idiom. pout;  grimace; give a dirty luck"
"ponerse a dieta:idiom. go on a  diet"
"ponerse como una  hiena:idiom. get pissed;  be furious; hit the roof"
"ponerse de acuerdo:idiom. agree; come  to an agreement"
"ponerse de novio:idiom. have a  relationship; be serious with somebody"
"ponerse de pie:idiom. stand up.  (lit.: to put oneself on foot)"
"ponerse en contra:idiom. be against;  protest; stand against"
"ponerse las pilas:idiom. force  oneself; push oneself. (lit.: put batteries in oneself)"
"ponerse pedo:idiom. get drunk;  get sloshed; get pissed; get high"
"ponja:n.m./f. Japanese  person; Asian person in general. (back slang; can be friendly or insulting)"
"por (el) amor de Dios:idiom. for the  love of God. (n.b.: exclamation similar to the one in English in usage)"
"por adelantado:idiom. early,  beforehand. (lit.: by earliness)"
"por casualidad:idiom. by  coincidence, by any chance. (lit.: by coincidence)"
"por cierto:idiom. by the way;  incidentally"
"por debajo de agua:idiom. under the  table"
"por el contrario:idiom. on the  contrary. (lit.: by its sight)"
"por el momento:idiom. for now.  (lit.: by the moment)"
"por el otro lado:idiom. on the  other hand"
"por eso:idiom. so; thus;  then; next"
"por estos rumbos:idiom. in this  neck of the woods; around here"
"por fin:idiom. finally"
"por fortuna:idiom. fortunately"
"por la buena:idiom. nicely;  without being forced"
"por la flauta:idiom. oh dear!.  (used to express surprise or frustration)"
"por la mala:idiom. only when  pushed; only when forced"
"por la verga grande:idiom. in the back  of beyond; in the sticks; in the boonies. (coarse, vulgar expression)"
"por lo general:idiom. generally;  in general"
"por lo menos:idiom. at least;  at a minimum. (lit.: at/by the least)"
"por lo pronto:idiom. in the  meantime; meanwhile"
"por lo regular:idiom. normally"
"por lo tanto:idiom. thus;  therefore. (lit.: by its sight)"
"por lo visto:idiom. apparently;  it seems. (lit.: by its sight)"
"por menos de nada:idiom. for  nothing; for less than nothing"
"por otra parte:idiom. on the  other hand"
"por pedido de:idiom. at the  request of"
"por si acaso:idiom. just in  case"
"por si fuera poco:idiom. to add  insult to injury"
"por si las moscas:idiom. just in  case"
"por siempre:idiom. forever.  (lit.: for always)"
"por suerte:idiom. luckily,  fortunately. (lit.: by luck)"
"por supuesto:idiom. of course.  (lit.: by supposed)"
"por todos los  rincones:idiom. in every  nook and cranny"
"por un lado:idiom. on the one  hand"
"por un pelito:idiom. by very  little; by a second"
"por un pelo de rana:idiom. by very  little; by a second; by the skin of one's teeth"
"por una  parte:idiom. on the one  hand. (lit.: for one side)"
"porno:adj. porno;  pornographic"
"porno blando:n.m. soft porn"
"porno duro:n.m. hard porn"
"pre-boliche:n.f. pre-party at  somebody's home prior to going to a boliche. (used in Argentina)"
"preciosura:n.f. baby; girl.  (n.b.: colloquial/vulgar form of address by a man to a woman he finds  attractive)"
"primero que nada:idiom. most of  all; first and foremost"
"profe:n.m. prof;  professor. (from profesor/a; student slang)"
"profe:n.m./f. professor;  teacher. (abbreviated from profesor/-a)"
"programma:n.m. syllabus.  (used in Argentina)"
"proquería:idiom. junk,  trash; junk food"
"pucha:int. darn, drat,  fudge. (n.b.: a euphenism for puta, it can be used with the definite article  ‘la’ as well)"
"pulga:n.f. midgit;  shrimp. (lit.: flea)"
"puro:n.m. cigar. (lit.:  pure thing)"
"puta:n.f. whore; slut.  (n.b.: this is a very offensive word in Spanish; it can and is used as an  interjection, and as an emphatic, too; more details here) "
"puta madre:n.f. motherfucker;  fuck off. (n.b.: very vulgar and offensive, though can be used for emphasis  among close friends without giving offense)"
"echar agua al vino:idiom. water down"
"echar ajos y cebollas:idiom. swear;  curse; rant and rave. (lit.: throw garlic and onions)"
"echar de menos:idiom. miss; feel  the absence of. (lit.: to throw less). 1. Puedes pasar una temporada en un país  extranjero sin echar de menos tu comida, tu ropa o tú café favorito."
"echar el toro a algn:idiom. scold  somebody severely. (lit.: throw the bull to somebody)"
"echar mano a:idiom. lay hands  on; get one's hands on"
"echar mano de:idiom. make use  of; resort to"
"echar por el atajo:idiom. take the  easy way out. (lit.: throw for the shortcut)"
"echar un mano:idiom. help;  assist. (lit.: to throw less)"
"echar un ojo a:idiom. have one’s  eye on; covet. (lit.: to throw an eye at)"
"echar un vistazo:idiom. look  around; glance; take a look. (lit.: to throw less)"
"echar una bronca:idiom. hit hard;  come down on"
"echar una furia:idiom. throw a fit"
"echar una mano a algn:idiom. let someone  a hand; give someone a hand; help someone"
"echarle los perros a  algn:idiom. come down  hard on someone. (lit.: throw dogs at someone)"
"echarlo todo a rodar:idiom. mess it all  up; make a mess of everything"
"echarse un novio/-a:idiom. get a  boy/girlfriend. (used in Spain)"
"edad de pavo:n.f. smart-aleck;  smarty pants; adolescent who thinks he or shes knows everything about  everything"
"el cuatro es nota, el  resto es lugo:idiom. four is  passing, anything else is a luxury. (used in Argentina)"
"el pensamiento no  tiene/conoce barreras:idiom. you can  think whatever you like. (lit.: thought does not have/know barriers)"
"el que se pica, ajos  come:idiom. if the shoe  fits, wear it"
"el último grito:idiom. the latest  thing. (lit.: the latest cry)"
"elefante:n.m. cow; whale;  fat woman. (lit.: elephant)"
"en absoluto:idiom. at all;  (not) at all. (usually used with a negative verb). 1. No, en absoluto."
" en adelante:idiom. from now on"
"en bolas:idiom. naked;  nude; in the buff. (Spain usage; lit: in balls)"
"en bolas:idiom. in a group;  together. (Mexican usage; lit.: in balls)"
"en cambio:idiom. on the  other hand"
"en carne viva:idiom. in the  flesh. (lit.: in living meat)"
"en caso de:idiom. in case of;  in case"
"en cuanto a:idiom. as for;  when it comes to. (lit.: in how much to)"
"en cuerpo y alma:idiom. body and  soul"
"en definitiva:idiom. in short;  in brief"
"en el acto:idiom. in the act;  red-handed"
"en el medio de la  nada:idiom. in the  middle of nowhere. (lit.: in the middle of (the) nothing)"
"en fin:idiom. in short;  in brief"
"en lo más mínimo:idiom. in the  least bit"
"en lugar de:idiom. insted of,  in place of. (lit.: in place of)"
"en manos de:idiom. in the  hands of"
"en pie de:idiom. on the  verge of. (lit.: at (the) foot of)"
"en pos de:idiom. in pursuit  of; after"
"en realidad:idiom. actually;  really; in reality"
"en resumen:idiom. in sum; in  brief; briefly"
"en seguida:idiom. right away;  at once; immediately"
"en serio:idiom. really,  truly, seriously. (lit.: in serious)"
"en todo caso:idiom. in any  case; in any event; anyway"
"en tu/su lugar:idiom. in  your/his/her place. (lit.: in your/his/her place)"
"en un abrir y cerrar  de ojos:idiom. very  quickly; in a flash; in the blink of an eye. (lit.: in the opening and closing  of eyes. "
"en un decir amén:idiom. in a flash;  in a jiffy; in next to no time. (lit.: in the saying of amen)"
"en vez de:idiom. instead of.  (lit.: in time of)"
"enamoradizo/-a:n.m./f. someone  who falls in love often or easily"
"enchufado:n.m./f. someone  with connections. (used in Spain)"
"enganchar:v. be involved  with somebody; be going out with somebody. (used in Argentina)"
"enrollarse:v. get involved  (romantically with someone). (used in Spain)"
"entrar a hurtadillas:idiom. sneak in"
"entrar a saco:idiom. burst in;  storm in. (lit.: to enter at sack)"
"entrar bien:idiom. go down  well"
"entrar de maravilla:idiom. go down  well"
"entre algodones:idiom. be  pampered; be coddled. (lit.: between cotton)"
"entre bromas y veras:idiom. half-joking(ly);  half-serious(ly). (lit.: between jokes and truths)"
"entre manos:idiom. on hand; at  hand; immediately available"
"epa:int. wow; oh. (n.b.:  often used as “epa, epa” for greaer emphasis)"
"es la salsa de la  vida:idiom. it's the  spice of life"
"estallar en vivas:idiom. burst into  applause. (lit.: to burst into lives)"
"estar a cargo:idiom. be in  charge"
"estar a dieta:idiom. be on a  diet. (lit.: to be at diet)"
"estar a disgusto:idiom. be unhappy;  be displeased"
"estar a la miseria:idiom. be in a bad  way; be in a bad state"
"estar a salvo:idiom. be safe; be  secure. (lit.: to be at saved)"
"estar a tope:idiom. be very  busy"
"estar abocado al  frasco:idiom. be doomed  to failure"
"estar al loro:idiom. be on the  alert; know the score. (lit.: be at the parrot)"
"estar al palo:idiom. have an  erection; be hard"
"estar al tanto:idiom. be abreast;  be up to date. (lit.: to be at the such)"
"estar como agua para  chocolate:idiom. be at the  boiling point. (lit.: like water for chocolate. Indicates a boiling point of  anger or passion. Note that this phrase was used as the title for a movie,  translated into English as “Like Water for Chocolate.”)"
"estar como el burro  del aguador; cargado de agua y muerto de sed:idiom. not to see  what's right before one's eyes. (lit.: be like the watercarrier's donkey; laden  with water and dying of thirst; n.b.: a Mexican expression)"
"estar como las  propias rosas:idiom. feel  entirely at ease"
"estar como tres en un  zapato:idiom. be packed  like sardines; be crammed in. (lit.: be like three in one shoe)"
"estar con el agua al  cuello:idiom. be up to  one’s neck in problems; be over a barrel. (lit.: be with water at one’s collar)"
"estar con el agua al  cuello:idiom. be up to  one's neck in something. (lit.: have water up to one's neck; n.b.: a Mexican  saying)"
"estar conforme:idiom. be  satisfied"
"estar curtido en:idiom. be expert  at; be skilled at. (lit.: be tanned, hardened in)"
"estar de bromas:idiom. be in a jokeing  mood. (lit.: to be for jokes)"
"estar de buenas:idiom. be in a  good mood"
"estar de juerga:idiom. go out on  the town; party; go clubbing"
"estar de la cabeza:idiom. be nuts; be  insane"
"estar de oferta:idiom. be on sale;  be discounted"
"estar de Rodrígues:idiom. be left on  one's own. (lit.: be Rodrigues; used in Spain)"
"estar de viaje:idiom. be on  vacation; be away (on vacation)"
"estar de vuelta:idiom. be back;  have returned"
"estar del tomate:idiom. be nuts; be  insane. (n.b.: not used much anymore)"
"estar en ascuas:idiom. be on pins  and needles; be on tenerhooks. (lit.: to be on coals)"
"estar en Babia:idiom. have one’s  head in the clouds. (lit.: to be in Babia)"
"estar en camino:idiom. be on the  way; be coming"
"estar en el ajo:idiom. be involved  in; be mixed up in; be in the know. (lit.: to be in the garlic)"
"estar en el orno:idiom. be in a  tight spot; be very anxious. (used in Argentina)"
"estar en juego:idiom. be in play;  be up for grabs. (lit.: to be in play)"
"estar en juego:idiom. be at stake.  (lit.: to be in play)"
"estar en la buena:idiom. be in a  good mood; be in luck. (used in the Andes region)"
"estar en la luna:idiom. be on cloud  nine; be out to lunch. (lit.: to be on the moon)"
"estar en la miseria:idiom. be broke;  be poor. (used in Spain)"
"estar en su salsa:idiom. be in one's  element"
"estar harto de:idiom. be fed up  with; have had it with. (lit.: to be exhausted)"
"estar hasta el gorro:idiom. be fed up;  have had it. (used in Spain)"
"estar hasta el moño:idiom. be fed up;  have had it. (used in Spain)"
"estar hasta la  coronilla:idiom. be fed up;  have had it"
"estar hasta las  narices:idiom. be fed up;  have had it. (used in Spain)"
"estar hasta los  cojones:idiom. be fed up;  have had it. (vulgar)"
"estar hecho un palo:idiom. be as  skinny as a rake; be very thin"
"estar hecho una  flauta:idiom. be thin as  a rake. (lit.: be like a flute)"
"estar loco por algo:idiom. be crazy  for something; be nuts about something"
"estar mal de dinero:idiom. be hard up;  have money problems"
"estar mal de la  azotea:idiom. be off  one’s rocker; be nuts; be crazy. (lit.: to be bad in the roof)"
"estar para el  arrastre:idiom. be done in;  be dead on one’s feet; have had it. (lit.: to be for dragging)"
"estar pedo:idiom. be sloshed;  be drunk; be pissed; be high"
"estar que arde:idiom. be fuming;  be hopping mad; be seething. (lit.: to be that which burns)"
"estar seguro (de que):idiom. be sure; be  certain. (lit.: to be sure)"
"estar sin animo:idiom. be down; be  in low spirits"
"estar sin pasta:idiom. be broke;  be poor"
"estar sin plata:idiom. be broke;  be poor"
"estar sin un duro:idiom. be broke;  be poor. (used in Spain)"
"esto es el colmo:idiom. that’s the  last straw"
"importarse un carajo:idiom. not matter  at all; not give a damn about"
"ir a golpe de  alpargata:idiom. walk; hoof  it; go on foot. (lit.: go by slapping sandals)"
"ir a medias:idiom. go Dutch;  go fifty-fifty. (used in Spain)"
"ir de compras:idiom. go shopping"
"ir de juerga:idiom. go out on  the town; party; go clubbing"
"ir de marcha:idiom. go out  partying"
"ir de tiendas:idiom. go  shopping. (used in Spain)"
"irse a la cabeza del  toro:idiom. grab the  bull by the horns"
"irse al otro barrio:idiom. kick the  bucket. (lit.: to go to another neighborhood)"
"jegua:n.f. dull,  unremarkable person"
"jermu:n.f. woman; girl;  lady. (reversed form of mujer)"
"joder:v. fuck. (n.b.:  used mostly in Spain; more details here)"
"joraca:n.m. shit; damn.  (reversed form of carajo; used as an interjection of anger, frustration, or  disgust)"
"juerga:n.f. blast; good  time; wild time; party"
"justo a tiempo:idiom. just in  time"
"sabelotodo:idiom. know it all"
"saber dónde aprieta  el zapato:idiom. know the  score; know the situation. (lit.: know where the show pinches)"
"sabi(h)onda mandona:idiom. little miss  know-it-all"
"sabi(h)ondo/a:idiom. know it all"
"sacar a algn de  quicio:idiom. drive  someone crazy; drive someone up a wall"
"sacar de un apuro:idiom. get  somebody out of a tight spot"
"sacar los colores a  alguien:idiom. make  someone blush. (lit.: to take out the colors from someone)"
"sacar pecho:idiom. brag; show  off. (lit.: to stick out chest)"
"sacarse de encima:idiom. come out on  top. (lit.: to take oneself out at top)"
"sacarse la mugre:idiom. have a  nasty accident"
"sacarse la mugre:idiom. work like a  dog. (n.b.: used in Cono del Sur)"
"salame:n.m. idiot;  thickhead; dunce. (lit.: salami; used mostly in the Cono del Sur region)"
"salame:n.m./f. dumb  person. (used in Argentina)"
"salir adelante:idiom. get ahead"
"salir de las llamas y  caer en las brasas:idiom. jump out of  the frying pan and into the fire"
"salir de marcha:idiom. go out partying"
"salir de un apuro:idiom. get out of  a tight spot. (lit.: leave a predicament)"
"salir juntos:idiom. date; go  out; be seeing. (used to describe a couple in a relationship)"
"sangrón, -grona:adj. annoying;  irritating"
"sangrón, -grona:n.m/f. pain in the  neck; nuisance"
"Santa Bárbara:idiom. Heaven help  us. (n.b.: Saint Barbara’s help is invoked to protect one from danger, esp. in  some traditions, from fire and storms)"
"santo cielo:idiom. heavens;  good heavens. (n.b.: popularly used as an expression of suprise, often as a  euphemism for something stronger)"
"santo Dios:idiom. good God;  great God. (n.b.: popularly used as an expression of suprise, often as a  euphemism for something stronger)"
"se trata de:idiom. it's about;  it has to do with; you're supposed to…"
"seguido:idiom. often.  (n.b.: Mexican, used more often than ‘frequentemente’)"
"según dice:idiom. according  to. (lit.: following (it) says)"
"ser agua pasada:idiom. be water  under the bridge; be done; be over with. (lit.: to be water passed by)"
"ser al mando:idiom. be at  someone’s command"
"ser de bronce:idiom. be rigid;  be inflexible. (lit.: be of bronze)"
"ser de corta edad:idiom. be young"
"ser de edad avanzada:idiom. be old; be  elderly"
"ser el colmo de los  colmos:idiom. be the  limit; be the worst"
"ser la monda:idiom. be a blast;  be really funny"
"ser más listo que el  hambre:idiom. be sharp as  a tack; be very quick. (lit.: be more clever than hunger)"
"ser otro asunto:idiom. be  different; be something else"
"ser pan comido:idiom. be a piece  of cake. (lit.: to take out the colors from someone)"
"ser toro corrido:idiom. be an old  hand at. (lit.: be a bull [that has] run)"
"ser un muermo:idiom. be a drag;  be a bore. (used in Spain)"
"ser un pelo:idiom. be very  skinny; be very thin"
"servir lo mismo para  un barrido que para un fregado:idiom. be a jack  of all trades; be handy. (lit.: to serve equally as for sweeping or for  scrubbing)"
"sexy:adj. sexy. (from  the English)"
"siete:n.m./f. great  person. (used in Chine). 1. Mi amigo es un siete."
" siete nueve:n.m. sixty-nine.  (n.b.: sexual terminology, though not necessarily vulgar, it is used with  similar restraint as in English)"
"sin apuros:idiom. without  pressure; without embarassment. 1. Quiero vivir sin apuros"
"sin duda:idiom. without  doubt; doubtlessly"
"sin embargo:idiom. nevertheless,  nonetheless. (lit.: to have sense)"
"sito de ligar:idiom. singles'  bar; pickup joint. (used in Spain)"
"sobrio como una cuba:idiom. drunk.  (lit.: sober like a wine cask)"
"soltar el toro a algn:idiom. scold  somebody severely. (lit.: jump the bull to someone)"
"soltar la risa:idiom. burst out  laughing"
"sope:n.m. peso.  (reversed form)"
"sopermi:n.m. permission.  (reversed form of permiso, and used in idiom.s that use permiso)"
"soplapollas:m.f. prick; dick;  cock; wanker"
"subirse a las barbas  de alg. idiom. be fresh with  someone; be too familiar or friendly with someone. (lit.: to go up the beard of  someone)"
"subte:n.m. subway  (train). (abbr. from subterréaneo)"
"subti:n.m. subway. (used  in Argentina)"
"sueño de oro:idiom. one's  heart's desire; one's dream. (lit: dream of gold; A sueño de oro is one's  innermost, deepest desire)"
"super:n.m. supermarket"
"super:adv. very; really;  extremely"
"fachero:n.m. handsome man;  stud. (old)"
"facu:n.f. faculty;  department (in a university). (student slang)"
"feca:n.m. coffee. (reversed  form)"
"felices sueños:idiom. sweet  dreams. (lit.: happy dreams)"
"fiaca:n.f. laziness;  apathy. (used in Argentina)"
"fichar:v. scan a group  for an attractive person; eye. (used in Argentina)"
"fideo/a:n.m/f. :              skinny person; string bean; bean pole. (used to describe an  extremely skinny person, usually also tall)"
"filo:n.f. girlfriend. (used  in Chine)"
"final:n.m. final exam  that covers everything taught in a class or course (usually oral). (used in  Argentina)"
"finde:n.m. weekend. (from  fin de semana)"
"flechado:adv. in a flash;  suddenly"
"florecer como rosa en  mayo:idiom. blossom;  flourish; bloom"
"foca:n.f. cow; whale;  fat woman. (lit.: seal)"
"follar:v. fuck. (n.b.:  used in Spain)"
"forrado:adj. rich; loaded;  rolling in it. (used in some Spanish-speaking countries)"
"forrarse:v. get rich. (used  in Spain)"
"franchute:n.m./f. French  person. (back slang; used in Argentina; generally insulting)"
"fresca:n.f. cheek;  obnoxious behavior. (used in Chine)"
"fresco:n.m./f. smart-aleck"
"friolero:n.m./f. cold-blodded;  someone who feels cold easily"
"fuera de control:idiom. out of  control. 1. Nuestra casa está fuera de control."
" fuera de modo:idiom. out of  style; out of fashion"
"fulano:n.m./f. so-and-so;  somebody or other"
"fulano de tal:idiom. somebody or  other"
"fulano, zutano y  mengano:idiom. Tom, Dick,  and Harry; everybody"
"gallego:n.m./f. Spanish  person. (back slang; used in Argentina; generally insulting)"
"gallito:n.m. tough guy. (n.b.:  very common in Mexico)"
"ganarse de mano:idiom. beat  someone to something. (lit.: to win for oneself of/from a hand)"
"ganso:n.m. academically  brilliant person with few social skills"
"garcar:v. shit; poop. (reversed  form of cargar)"
"garpar:v. pay; make  payment. (reversed form of pagar)"
"gastar una broma a  algn:idiom. play a joke  on; have fun at someone's expense"
"gato:n.m. slut; sleazy  woman. (lit.: cat; applies to women only)"
"gay:adj. gay;  homosexual. (from English; n.b.: colloquial, not offensive)"
"gilí:adj. dumb; stupid;  silly"
"gilipollas:n.m. idiot; ass;  asshole. (used in Spain)"
"girafa:n.f. giant;  beanstalk; very tall person. (lit.: giraffe)"
"gorrón:n.m. scrounger,  freeloader. (n.b.: Mexican colloquialism)"
"gringo, -a:n.m./f. American  person. (used in some Spanish-speaking countries)"
"gringolandia:n.f. U.S. (used in  some Spanish-speaking countries)"
"grone:n.m. dark-skinned  person. (reversed form of negro; note that grone does not necessarily refer to  people of African origin, but to anyone with a particularly dark complexion)"
"guagua:n.f. bus. (used in  Cuba and the Cono del Sur region)"
"guagua:n.f. baby. (used  in Chine)"
"guaperas:n.m. hunk; hot guy.  (used in Spain)"
"guay:adj. cool, super,  great"
"guiri:n.m./f. foreigner;  tourist"
"guitarrear:v. talk about  anything in order to avoid answering a question. (used in Argentina)"
"randa:n.m. pickpocket;  petty thief"
"randar:v. rip off; nick;  steal"
"rata:n.f. skinflint;  stingy person. (lit.: rat)"
"rayado/a:adj. crazy; nuts;  cracked. (used in Cono del Sur)"
"rayos:n.m.pl. drat; darn  it. (lit.: rays; n.b.: used as a euphemism for stronger interjections and  expletives)"
"recarger:v. fail an exam.  (used in Argentina)"
"regalarse:idiom. give; let  me have. (lit.: to give oneself; n.b.: used in Costa Rica; e.g.: ‘regalame’ to  mean ‘give me’ something in a store)"
"regla:n.f. period  (menstruation). (lit.: rule, measure; this is one of the standard terms used  throughout the Spanish-speaking world to refer to a woman’s period)"
"reirse la gracia a  algien:idiom. humor  someone. (lit.: to laugh with someone)"
"repartirse el pastel:idiom. divide up  the pie"
"requete:adv. very,  extremely. (lit.: the walking. Usually used with a verb like “volver a”)"
"resaca:n.f. hangover.  (used in much of Latin America)"
"revirado/a:adj. unruly; wild;  nuts. (used in Cono del Sur)"
"revirar:v. go crazy. (used  in Cono del Sur)"
"rilarse:v. be wiped out;  be exhausted"
"rodar por algn:idiom. be at  someone's beck and call"
"rumbo a:idiom. in the  direction of; toward"
"ruso, -a:n.m./f. Jewish  person. (lit.: Russian)"
"tacaño/-a:n. cheapskate;  miser"
"tacaño/-a:adj. stingy;  cheap; tight-fisted"
"tacote:n.m. grass;  marijuana. (used mostly in Mexico)"
"tacuaco:adj. chubby;  plump. (used in the Cono del Sur region)"
"tal vez:idiom. probably,  maybe, perhaps"
"tano:n.m./f. Italian  person. (abbreviated form; used in Argentina; can be insulting)"
"tanque:n.m. fat person.  (lit.: tank)"
"tarde o temprano:idiom. sooner or  later. (lit.: late or early)"
"tata:n.m. dad; daddy.  (n.b.: used in Latin American Spanish mostly)"
"tele:idiom. tv; telly;  television"
"telo:n.m. hotel;  hostel; love hotel. (reversed form of hotel; usually refers to one in which  couples rent a room for everal hours or one night to engage in sexual activity)"
"tener a alg. en  ascuas:idiom. keep  someone in suspense; keep someone on tenderhooks. (lit.: to have someone on  coals)"
"tener animo:idiom. be  enthusiastic; be in the mood for"
"tener buen tipo:idiom. have a good  figure; have a good body. (used in Spain)"
"tener buen vino:idiom. be able to  handle one's alcohol"
"tener ciudado:idiom. be careful.  (lit.: to have care)"
"tener el alma en un  hilo:idiom. be on pins  and needles; have one’s heart in one’s mouth; be on tenderhooks. (lit.: to have  the soul in/by a string)"
"tener en cuenta:idiom. bear in  mind; keep in mind. (lit.: to have in account)"
"tener en mente:idiom. keep in  mind; have in mind"
"tener ganas (de):idiom. feel like.  (lit.: to have urges/desires)"
"tener gracia:idiom. be funny;  be amusing. (lit.: to have grace)"
"tener harto:idiom. be fed up.  (lit.: to have exhausted)"
"tener hasta acá:idiom. have had  enough. (lit.: to have up to here)"
"tener la culpa:idiom. be to  blame; be one’s fault"
"tener las manos  largas:idiom. be  light-fingered. (lit.: have large hands)"
"tener lugar:idiom. take place.  (lit.: to have place)"
"tener mal vino:idiom. be unable  to handle one's alcohol"
"tener mala leche:idiom. have a mean  streak"
"tener miedo (de):idiom. be afraid;  be fearful; be scared. (lit.: to have fear)"
"tener paciencia:idiom. be patient"
"tener prisa:idiom. be in a  hurry; be in a rush. (lit.: to have hurry/haste/rush). 1. Ahora tenemos un poco  de prisa. "
"tener que:idiom. have to;  must"
"tener razón:idiom. be right.  (lit.: to have reason)"
"tener sed:idiom. be thirsty"
"tener sentido:idiom. make sense.  (lit.: to have sense)"
"tener suerte:idiom. be lucky;  be fortunate. (lit.: to have luck)"
"teta:n.f. tit; boob.  (n.b.: familiar or vulgar, depending on context)"
"tiempo de perros:idiom. foul  weather; horrible weather. (lit.: weather for dogs)"
"tío:n.m. dude; guy.  (lit.: uncle; used in Spain in the 1980s)"
"tipo:n.m. guy, fellow,  chum. (n.b.: colloquial, and very common)"
"tirar:v. take somebody  somewhere by car. (used in Argentina)"
"tirar el dinero:idiom. throw money  out the window"
"tirar por el atajo:idiom. take the  easy way out. (lit.: throw for the shortcut)"
"tirarse un pedo:idiom. fart"
"tocar diana:idiom. sound  reveille. (n.b.: diana means bull's-eye)"
"todo hijo de vecino:idiom. every Tom,  Dick, and Harry; everyone"
"todo un poco:idiom. a little of  each; a little of everything"
"tomar el pelo a  alguien:idiom. be kidding;  pull someone’s leg. (lit.: to pull the hair of someone)"
"tomar el sol:idiom. sunbathe;  soak up rays; catch some rays"
"tomar en cuenta:idiom. bear in  mind; keep in mind"
"tomar nota(s):idiom. take notes;  make a note of"
"tonto de culo:n.m. asshole.  (used in Spain)"
"trabajar el doble:idiom. work  overtime; work extra"
"traje de Adán:idiom. in one’s  birthday suit; naked. (lit.: in Adam’s clothes)"
"trasero:n.m. butt; behind;  backside; bum"
"tratarse:idiom. have to do  with; be. (lit.: to treat. Used with the preposition “de”)"
"turco, -a:n.m./f. person  from the Middle East. (lit.: Turkish)"
"ya es hora:idiom. it's about  time:                "
"ya que:idiom. since;  because"
"yanqui:n.m./f. American  person. (from ""Yankee""; used in Argentina)"
"yanquilandia:n.f. U.S. the  States; the U.S.: America. (from ""Yankee""; used in Argentina)"
"yo que se:idiom. how would I  know?. (lit.: I know what?)"
"la gran flauta:idiom. my God!.  (used to express surprise or disbelief)"
"la mili:n.f. compulsory  military service in Spain. (abbreviated from: servicio militar)"
"ladrar a la luna:idiom. waste one’s  breath; talk to a brick wall. (lit.: to bark at the moon)"
"lana:n.f. cash; dough;  money. (lit.: wool; n.b.: used in Mexico)"
"lanudo:adj. well off;  well-heeled. (used in Mexico)"
"largate:idiom. :              go away, beat it. (lit.: make oneself distant)"
"las andadas:n.f.pl. old  habits, tricks. (lit.: the walking. Usually used with a verb like “volver a”. "
"leche:n.f. sperm; spunk;  come. (lit.: milk)"
"leche:n.f. slap in the  face; insult. (lit.: milk; n.b.: used to indicate disgust or frustration)"
"ligar:v. pick up  (someone); score. (used in Spain)"
"ligue:n.m. casual fling  or relationship. (used in Spain)"
"lío:n.m. affair;  fling. (used in Spain)"
"lío:n.m. mess;  disaster"
"llegar a deshora:idiom. show up  unexpectedly"
"llegar a tiempo:idiom. arrive on  time; be on time"
"llegar a un acuerdo:idiom. come to an  agreement; reach an agreement"
"llegar tarde:idiom. arrive  late; be late"
"llevar a alguien en  andas:idiom. carry  someone on one’s shoulders. (lit.: to carry someone on a portable platform. An  “andas” literally refers to a portable platform)"
"llevar a cabo:idiom. carry out;  pull off; make happen. (lit.: to carry to end)"
"llevar juntos:idiom. be  together; be involved; be a couple"
"llevarse bien:idiom. get along  well"
"llevarse de miedo:idiom. get along  famously; get along really well"
"lo antes possible:idiom. as soon as  possible"
"lompas:n.m. pants;  slacks. (reversed form of pantalones)"
